"_col0","lifespan","objects"
"2016-06-09 00:00:00.000","329151.3245614035","139"
"2013-04-09 00:00:00.000","1663378.2608695652","54"
"2018-06-08 00:00:00.000",,"25"
"2017-02-02 00:00:00.000","36651.0","28"
"2018-04-06 00:00:00.000",,"2"
"2016-02-10 00:00:00.000","399280.46875","64"
"2018-06-15 00:00:00.000",,"26"
"2018-03-16 00:00:00.000","38842.0","1"
"2018-03-30 00:00:00.000",,"2"
"2013-02-04 00:00:00.000","1705750.0","1"
"2016-06-28 00:00:00.000","673714.8441558442","191"
"2017-02-01 00:00:00.000","183222.32","129"
"2016-04-19 00:00:00.000","238634.03846153847","122"
"2018-04-26 00:00:00.000",,"3"
"2018-08-10 00:00:00.000",,"12"
"2016-01-20 00:00:00.000","1665187.0","1"
"2016-05-22 00:00:00.000","257993.2481751825","512"
"2016-06-11 00:00:00.000","353781.2926829268","110"
"2016-04-09 00:00:00.000","501151.48076923075","203"
"2018-03-25 00:00:00.000","77172.0","164"
"2016-03-20 00:00:00.000","153495.8924050633","176"
"2017-03-20 00:00:00.000",,"77"
"2016-04-02 00:00:00.000","288187.86666666664","16"
"2018-04-01 00:00:00.000","4.0","8"
"2019-05-21 00:00:00.000",,"1"
"2018-06-04 00:00:00.000",,"24"
"2017-07-30 00:00:00.000",,"2"
"2017-12-03 00:00:00.000","108336.5","595"
"2013-08-07 00:00:00.000","1690966.6268656717","87"
"2015-08-06 00:00:00.000","311002.9090909091","11"
"2016-07-30 00:00:00.000","647516.6666666666","64"
"2016-08-12 00:00:00.000","471829.3846153846","18"
"2016-08-06 00:00:00.000","37416.0","1"
"2017-09-30 00:00:00.000","394561.0","4"
"2017-12-22 00:00:00.000",,"4"
"2014-10-09 00:00:00.000","1213899.5","2"
"2016-08-05 00:00:00.000","141966.53103448276","198"
"2013-08-08 00:00:00.000","1844786.3703703703","235"
"2016-08-19 00:00:00.000","373337.9655172414","110"
"2016-12-09 00:00:00.000","558496.3793103448","128"
"2016-10-21 00:00:00.000","244201.47368421053","58"
"2015-08-07 00:00:00.000","263414.0","5"
"2013-10-03 00:00:00.000","580518.3333333334","3"
"2014-10-02 00:00:00.000","486727.0","1"
"2014-10-10 00:00:00.000","876689.0","1"
"2016-10-19 00:00:00.000","40791.5","33"
"2017-12-20 00:00:00.000",,"81"
"2017-08-23 00:00:00.000","3.0","56"
"2013-08-11 00:00:00.000","1810888.0502793295","189"
"2016-08-23 00:00:00.000","378082.6","79"
"2016-12-20 00:00:00.000","217339.79166666666","80"
"2016-08-10 00:00:00.000","434961.4","10"
"2016-12-27 00:00:00.000","581572.875","15"
"2016-08-09 00:00:00.000","293342.1666666667","124"
"2016-09-28 00:00:00.000","243196.8220338983","159"
"2016-07-27 00:00:00.000","201596.50847457626","159"
"2016-10-25 00:00:00.000","440930.0","82"
"2018-01-02 00:00:00.000",,"9"
"2016-10-18 00:00:00.000","452868.0","13"
"2015-08-05 00:00:00.000","412696.3333333333","3"
"2017-10-11 00:00:00.000",,"5"
"2015-07-28 00:00:00.000","383036.0","1"
"2016-08-16 00:00:00.000","394302.16","268"
"2016-12-07 00:00:00.000","461496.68","329"
"2018-01-03 00:00:00.000",,"20"
"2016-10-05 00:00:00.000","525896.625","119"
"2015-08-31 00:00:00.000","396241.0","6"
"2012-10-21 00:00:00.000","1255862.5","2"
"2015-12-22 00:00:00.000","213400.0","1"
"2015-08-24 00:00:00.000","200452.0","1"
"2016-05-31 00:00:00.000","261504.14133333333","2271"
"2016-06-14 00:00:00.000","363923.86075949366","433"
"2016-03-09 00:00:00.000","318848.5925925926","27"
"2018-03-09 00:00:00.000","47496.0","3"
"2016-03-23 00:00:00.000","98103.0","14"
"2016-07-20 00:00:00.000","352892.0","1"
"2018-08-02 00:00:00.000",,"2"
"2016-04-06 00:00:00.000","531195.7341772151","1321"
"2017-02-08 00:00:00.000","100198.08510638298","487"
"2018-06-14 00:00:00.000","1126.0","89"
"2016-04-20 00:00:00.000","163561.0","85"
"2018-04-05 00:00:00.000","18265.0","29"
"2016-03-30 00:00:00.000","217056.97674418605","118"
"2017-04-19 00:00:00.000","384248.6666666667","197"
"2015-04-01 00:00:00.000","1407839.322580645","34"
"2015-05-27 00:00:00.000","574252.9","10"
"2018-04-12 00:00:00.000",,"13"
"2017-10-17 00:00:00.000","161710.0","646"
"2016-12-05 00:00:00.000","295641.6","98"
"2017-11-29 00:00:00.000",,"16"
"2016-08-01 00:00:00.000","376887.5","253"
"2016-10-24 00:00:00.000","634921.0","40"
"2016-12-12 00:00:00.000",,"145"
"2016-08-08 00:00:00.000","362627.26666666666","42"
"2016-07-26 00:00:00.000","820608.0714285715","36"
"2015-12-27 00:00:00.000","96256.44444444444","9"
"2013-09-29 00:00:00.000","975953.75","4"
"2011-08-18 00:00:00.000","47221.0","2"
"2017-10-09 00:00:00.000","214576.0","6"
"2016-12-19 00:00:00.000","21.0","488"
"2017-01-24 00:00:00.000","470.75","220"
"2017-11-28 00:00:00.000",,"115"
