"_col0","lifespan_minutes","changesets","objects"
"2017-11-28 00:00:00.000",,"11","115"
"2015-12-20 00:00:00.000","234013.1","8","26"
"2017-09-20 00:00:00.000","38343.0","1","1"
"2014-10-05 00:00:00.000",,"1","1"
"2016-09-30 00:00:00.000","290858.3076923077","11","165"
"2016-09-22 00:00:00.000","346738.8604651163","15","159"
"2018-11-24 00:00:00.000","9.5","3","3"
"2017-12-15 00:00:00.000",,"2","26"
"2018-01-27 00:00:00.000",,"6","6"
"2016-07-28 00:00:00.000","280814.63636363635","10","53"
"2013-07-23 00:00:00.000","1682916.8918918918","5","80"
"2017-01-27 00:00:00.000","162306.0","5","78"
"2016-08-04 00:00:00.000","236317.0","2","6"
"2016-11-18 00:00:00.000","12590.818181818182","4","13"
"2015-11-19 00:00:00.000",,"1","1"
"2016-09-23 00:00:00.000","361457.62666666665","23","341"
"2017-09-09 00:00:00.000",,"1","1"
"2016-09-29 00:00:00.000","111881.33333333333","10","65"
"2013-07-31 00:00:00.000","1539434.564516129","3","75"
"2013-10-02 00:00:00.000","1453491.5","2","2"
"2016-09-16 00:00:00.000","420848.62809917354","11","531"
"2015-12-03 00:00:00.000","596139.5714285715","4","74"
"2016-11-25 00:00:00.000","212362.30434782608","11","79"
"2013-09-25 00:00:00.000",,"1","1"
"2016-05-30 00:00:00.000","267114.39522058825","27","1057"
"2015-05-25 00:00:00.000","949705.6","13","186"
"2016-04-26 00:00:00.000","208868.48243992607","20","1088"
"2018-02-22 00:00:00.000","155121.0","2","2"
"2018-03-07 00:00:00.000","63694.333333333336","6","7"
"2016-07-18 00:00:00.000",,"1","2"
"2016-03-21 00:00:00.000","385725.5","3","30"
"2017-02-22 00:00:00.000",,"2","14"
"2015-08-07 00:00:00.000","263414.0","4","5"
"2016-08-19 00:00:00.000","373337.9655172414","12","110"
"2016-08-05 00:00:00.000","141966.53103448276","16","198"
"2016-10-21 00:00:00.000","244201.47368421053","13","58"
"2013-08-08 00:00:00.000","1844786.3703703703","3","235"
"2016-12-09 00:00:00.000","558496.3793103448","10","128"
"2013-10-03 00:00:00.000","580518.3333333334","3","3"
"2014-10-10 00:00:00.000","876689.0","1","1"
"2014-10-02 00:00:00.000","486727.0","1","1"
"2015-08-20 00:00:00.000","114179.5","2","5"
"2016-07-29 00:00:00.000","98023.0","1","1"
"2015-12-04 00:00:00.000","442354.3333333333","1","6"
"2017-12-03 00:00:00.000","108336.5","103","595"
"2017-09-30 00:00:00.000","394561.0","2","4"
"2016-08-12 00:00:00.000","471829.3846153846","5","18"
"2016-07-30 00:00:00.000","647516.6666666666","6","64"
"2017-12-22 00:00:00.000",,"3","4"
"2015-08-06 00:00:00.000","311002.9090909091","5","11"
"2014-10-09 00:00:00.000","1213899.5","2","2"
"2013-08-07 00:00:00.000","1690966.6268656717","2","87"
"2016-08-06 00:00:00.000","37416.0","1","1"
"2016-03-20 00:00:00.000","153495.8924050633","21","176"
"2016-05-22 00:00:00.000","257993.2481751825","10","512"
"2016-06-11 00:00:00.000","353781.2926829268","13","110"
"2016-04-09 00:00:00.000","501151.48076923075","5","203"
"2018-04-01 00:00:00.000","4.0","7","8"
"2018-03-25 00:00:00.000","77172.0","13","164"
"2018-06-04 00:00:00.000",,"2","24"
"2019-05-21 00:00:00.000",,"1","1"
"2017-03-20 00:00:00.000",,"1","77"
"2017-07-30 00:00:00.000",,"1","2"
"2016-04-02 00:00:00.000","288187.86666666664","2","16"
"2017-04-08 00:00:00.000","51232.89256198347","70","1465"
"2017-04-09 00:00:00.000","122720.73913043478","78","1257"
"2014-04-04 00:00:00.000","871803.6","5","5"
"2016-06-05 00:00:00.000","407122.4542936288","44","1244"
"2015-05-23 00:00:00.000","312447.6666666667","25","217"
"2016-06-04 00:00:00.000","458309.3483870968","18","186"
"2016-06-17 00:00:00.000","247078.84105960265","31","519"
"2018-03-12 00:00:00.000","43006.857142857145","3","16"
"2018-05-28 00:00:00.000",,"1","49"
"2016-04-21 00:00:00.000","128312.7375","4","104"
"2017-05-04 00:00:00.000","466802.44444444444","24","65"
"2016-05-04 00:00:00.000","256844.11363636365","14","82"
"2017-04-20 00:00:00.000","248393.375","53","322"
"2016-06-23 00:00:00.000","429337.1964285714","31","524"
"2016-04-28 00:00:00.000","377628.452","16","854"
"2018-04-20 00:00:00.000","69637.0","4","16"
"2016-02-18 00:00:00.000","234237.22950819673","2","95"
"2018-02-23 00:00:00.000",,"1","2"
"2017-03-02 00:00:00.000",,"1","5"
"2016-02-25 00:00:00.000","424470.8","2","130"
"2013-02-05 00:00:00.000","1737410.2","1","5"
"2016-07-06 00:00:00.000","382391.97744360904","13","186"
"2017-02-03 00:00:00.000","20051.0","4","4"
"2017-04-27 00:00:00.000","313445.0714285714","40","288"
"2018-04-27 00:00:00.000","55019.0","6","20"
"2017-02-23 00:00:00.000","232793.75","7","106"
"2016-06-29 00:00:00.000","273490.3611111111","14","141"
"2016-07-07 00:00:00.000","202380.08333333334","12","147"
"2016-02-24 00:00:00.000","289368.8621908127","6","338"
"2015-04-15 00:00:00.000","601218.5","1","2"
"2017-02-16 00:00:00.000",,"5","56"
"2015-05-05 00:00:00.000","916341.1496598639","2","239"
"2018-02-16 00:00:00.000",,"1","1"
