"_col0","avg_lifespan_minutes","num_users","edits","objects"
"2014-04-27 00:00:00.000","524238.5","1","2","2"
"2011-05-18 00:00:00.000","1239409.5","1","2","2"
"2016-07-17 00:00:00.000",,"1","1","1"
"2014-04-26 00:00:00.000","376233.53846153844","2","99","96"
"2015-04-26 00:00:00.000","273687.7582417582","2","216","216"
"2015-02-16 00:00:00.000","537133.0","1","3","3"
"2019-02-26 00:00:00.000","9.0","1","3","2"
"2018-04-24 00:00:00.000",,"1","15","15"
"2016-05-02 00:00:00.000",,"1","1","1"
"2017-05-08 00:00:00.000",,"1","1","1"
"2014-02-09 00:00:00.000","238365.33333333334","1","6","3"
"2017-07-24 00:00:00.000",,"1","1","1"
"2014-03-15 00:00:00.000",,"1","1","1"
"2012-02-18 00:00:00.000","72824.0","1","1","1"
"2013-11-07 00:00:00.000","38233.53280091272","12","2115","2080"
"2014-08-08 00:00:00.000","1509968.625","1","33","33"
"2013-06-26 00:00:00.000","277422.8","1","16","16"
"2014-11-13 00:00:00.000","2004807.0","1","10","10"
"2016-09-03 00:00:00.000","23626.666666666668","1","4","4"
"2015-08-21 00:00:00.000","139730.75","1","6","5"
"2016-12-31 00:00:00.000",,"1","2","2"
"2018-09-02 00:00:00.000",,"1","1","1"
"2013-11-13 00:00:00.000","95131.9666196521","49","15260","12183"
"2010-06-16 00:00:00.000","19814.6","1","5","5"
"2010-06-29 00:00:00.000","611404.1428571428","1","14","14"
"2018-10-22 00:00:00.000",,"2","3","3"
"2018-11-04 00:00:00.000",,"1","1","1"
"2013-06-27 00:00:00.000","193556.0","1","1","1"
"2016-08-26 00:00:00.000",,"2","2","2"
"2015-05-02 00:00:00.000","378554.09523809527","2","81","62"
"2018-06-19 00:00:00.000",,"1","1","1"
"2013-04-19 00:00:00.000","100550.33333333333","1","6","6"
"2015-04-25 00:00:00.000","356119.5714285714","4","17","16"
"2018-02-19 00:00:00.000",,"1","1","1"
"2007-03-04 00:00:00.000","895878.4285714285","1","7","7"
"2011-03-02 00:00:00.000","847823.1666666666","1","6","6"
"2017-02-05 00:00:00.000",,"1","1","1"
"2017-07-02 00:00:00.000",,"1","2","2"
"2015-04-05 00:00:00.000","22647.0","1","1","1"
"2011-02-23 00:00:00.000","1509235.925","1","40","40"
"2018-06-11 00:00:00.000","29422.14285714286","1","50","47"
"2013-05-09 00:00:00.000","266175.0","1","1","1"
"2011-02-10 00:00:00.000","199350.0","1","5","5"
"2013-02-02 00:00:00.000","267692.3333333333","1","3","2"
"2010-03-02 00:00:00.000","3685.5","1","2","2"
"2015-07-11 00:00:00.000","258083.92307692306","3","50","42"
"2014-04-25 00:00:00.000","424606.25","1","5","5"
"2010-04-27 00:00:00.000","284270.375","1","8","8"
"2013-06-14 00:00:00.000","406120.3","1","10","10"
"2017-06-05 00:00:00.000",,"1","2","2"
"2018-04-09 00:00:00.000",,"1","1","1"
"2018-06-18 00:00:00.000",,"1","14","14"
"2018-06-12 00:00:00.000",,"1","4","4"
"2013-04-05 00:00:00.000","4627.0","1","1","1"
"2013-02-22 00:00:00.000","13869.0","1","1","1"
"2016-04-11 00:00:00.000","268180.4285714286","1","10","9"
"2016-06-12 00:00:00.000",,"1","1","1"
"2013-05-02 00:00:00.000","277031.0","1","2","2"
"2018-04-30 00:00:00.000","223374.0","1","1","1"
"2017-04-23 00:00:00.000",,"1","1","1"
"2013-04-08 00:00:00.000","723145.5","1","10","9"
"2015-01-21 00:00:00.000",,"1","1","1"
"2015-06-03 00:00:00.000",,"1","1","1"
"2015-02-04 00:00:00.000","115238.0","1","4","3"
"2016-01-20 00:00:00.000","849397.0","1","1","1"
"2017-02-01 00:00:00.000","64086.0","1","1","1"
"2011-02-26 00:00:00.000","1419168.0","1","1","1"
"2019-04-12 00:00:00.000",,"1","1","1"
"2013-06-11 00:00:00.000","218744.92307692306","1","17","17"
"2015-06-10 00:00:00.000","855546.4339622641","1","216","216"
"2013-04-22 00:00:00.000","334692.70588235295","2","111","109"
"2014-04-08 00:00:00.000","208629.12162162163","1","81","77"
"2018-06-28 00:00:00.000",,"1","18","18"
"2014-02-04 00:00:00.000","120931.0","1","6","6"
"2015-02-03 00:00:00.000","117828.0","1","10","10"
"2015-02-17 00:00:00.000",,"1","2","2"
"2014-04-28 00:00:00.000","401028.0","1","2","2"
"2018-06-01 00:00:00.000",,"1","1","1"
"2016-04-06 00:00:00.000",,"1","2","2"
"2014-01-28 00:00:00.000","693312.0","1","1","1"
"2013-11-24 00:00:00.000","1938857.6813186812","3","293","293"
"2017-10-19 00:00:00.000","51405.75","2","12","11"
"2014-11-11 00:00:00.000","253366.03703703705","1","27","27"
"2017-08-17 00:00:00.000",,"1","5","5"
"2018-01-10 00:00:00.000",,"1","1","1"
"2019-01-24 00:00:00.000",,"1","1","1"
"2017-01-11 00:00:00.000",,"1","1","1"
"2016-10-20 00:00:00.000",,"1","1","1"
"2016-08-11 00:00:00.000",,"1","1","1"
"2013-11-18 00:00:00.000","761825.4722222222","6","106","106"
"2014-10-21 00:00:00.000","158657.52173913043","1","61","61"
"2017-08-31 00:00:00.000","851.5333333333333","1","177","175"
