"_col0","lifespan_minutes","changesets","objects"
"2011-03-20 00:00:00.000","811721.725","5","80"
"2013-03-13 00:00:00.000","183656.36842105264","2","20"
"2013-05-21 00:00:00.000","541771.0","1","1"
"2013-03-15 00:00:00.000","348198.5","2","2"
"2018-11-22 00:00:00.000","18.0","1","1"
"2016-11-17 00:00:00.000",,"3","33"
"2017-09-07 00:00:00.000","5578.0","1","7"
"2013-11-08 00:00:00.000","42105.82542624166","196","9001"
"2013-11-21 00:00:00.000","1577694.0","3","46"
"2017-10-23 00:00:00.000",,"1","3"
"2017-11-13 00:00:00.000",,"2","20"
"2017-09-15 00:00:00.000","112879.0","3","142"
"2015-07-14 00:00:00.000",,"2","4"
"2012-11-19 00:00:00.000","222286.0","1","1"
"2017-09-28 00:00:00.000",,"1","4"
"2015-04-27 00:00:00.000","160695.0","5","5"
"2011-03-04 00:00:00.000","1286039.0","1","4"
"2014-01-04 00:00:00.000","699889.0","1","2"
"2013-05-03 00:00:00.000","272699.0","1","2"
"2017-09-13 00:00:00.000","900.0","3","53"
"2016-11-22 00:00:00.000",,"6","100"
"2018-11-21 00:00:00.000",,"1","1"
"2017-09-20 00:00:00.000",,"2","21"
"2018-10-02 00:00:00.000","1.0","1","1"
"2017-09-27 00:00:00.000",,"1","1"
"2013-11-10 00:00:00.000","47017.409666283085","218","4921"
"2013-11-11 00:00:00.000","32925.13298525799","205","4670"
"2017-11-15 00:00:00.000","18710.6","17","100"
"2016-11-09 00:00:00.000",,"4","23"
"2015-04-28 00:00:00.000","73664.53846153847","19","19"
"2013-01-22 00:00:00.000","419979.6666666667","1","3"
"2016-04-07 00:00:00.000",,"1","3"
"2011-02-19 00:00:00.000","486444.0","1","5"
"2013-04-15 00:00:00.000","306491.0","1","1"
"2013-11-24 00:00:00.000","2002903.75","2","41"
"2017-08-17 00:00:00.000",,"1","5"
"2018-06-28 00:00:00.000",,"3","3"
"2013-04-22 00:00:00.000","166898.16666666666","2","6"
"2014-04-08 00:00:00.000",,"1","1"
"2013-11-20 00:00:00.000",,"2","19"
"2013-11-27 00:00:00.000",,"1","13"
"2018-03-25 00:00:00.000",,"1","20"
"2015-05-14 00:00:00.000","56194.05882352941","5","30"
"2017-07-21 00:00:00.000",,"2","61"
"2013-03-06 00:00:00.000","356777.0","1","1"
"2019-05-02 00:00:00.000",,"1","15"
"2015-07-13 00:00:00.000","112610.0","1","1"
"2017-07-12 00:00:00.000","647.25","7","147"
"2011-03-18 00:00:00.000","628777.1875","1","16"
"2015-05-25 00:00:00.000",,"1","1"
"2011-03-16 00:00:00.000","5283.0","1","1"
"2011-01-25 00:00:00.000","3062723.0","1","1"
"2011-03-29 00:00:00.000","1383673.0","1","1"
"2013-03-07 00:00:00.000","2203335.0","1","1"
"2018-03-05 00:00:00.000","264863.0","1","2"
"2017-07-23 00:00:00.000",,"1","2"
"2015-05-08 00:00:00.000","1467423.0","4","4"
"2011-03-22 00:00:00.000","682041.25","1","12"
"2016-11-15 00:00:00.000","884957.0","1","1"
"2015-11-16 00:00:00.000",,"1","1"
"2016-09-05 00:00:00.000","471329.9","22","28"
"2016-11-21 00:00:00.000","222865.5","8","246"
"2013-11-16 00:00:00.000","1605173.9","26","85"
"2016-11-14 00:00:00.000",,"1","1"
"2013-11-14 00:00:00.000","500801.96132596687","38","565"
"2013-11-15 00:00:00.000","1159277.6928104574","29","428"
"2017-08-22 00:00:00.000",,"2","32"
"2013-11-22 00:00:00.000","1854036.0","2","5"
"2011-06-23 00:00:00.000","1057667.6666666667","1","3"
"2013-11-09 00:00:00.000","28225.283104196817","416","6506"
"2017-10-30 00:00:00.000",,"6","59"
"2017-08-31 00:00:00.000","957.0","3","114"
"2016-09-06 00:00:00.000","371227.0","5","5"
"2013-11-18 00:00:00.000",,"1","1"
"2013-11-17 00:00:00.000","1251261.8","4","82"
"2016-11-08 00:00:00.000",,"1","2"
"2016-01-23 00:00:00.000","75.5","4","6"
"2017-11-25 00:00:00.000","1.0","8","11"
"2013-12-10 00:00:00.000","1921076.5","1","7"
"2014-07-17 00:00:00.000",,"1","1"
"2012-09-25 00:00:00.000","422205.5","1","2"
"2015-04-24 00:00:00.000","580525.8888888889","15","15"
"2011-03-30 00:00:00.000","994299.2195121951","4","41"
"2014-04-04 00:00:00.000",,"1","1"
"2018-03-26 00:00:00.000",,"1","7"
"2013-04-17 00:00:00.000","300525.0","2","2"
"2017-03-26 00:00:00.000","350386.5","4","16"
"2013-04-18 00:00:00.000","295528.0","1","1"
"2017-07-19 00:00:00.000",,"7","51"
"2017-07-18 00:00:00.000","48964.2","8","205"
"2014-06-01 00:00:00.000","756235.8333333334","9","15"
"2013-01-19 00:00:00.000","422429.6","2","5"
"2014-03-03 00:00:00.000",,"1","1"
"2019-05-03 00:00:00.000",,"2","18"
"2011-03-25 00:00:00.000","1386019.0","1","1"
"2013-11-23 00:00:00.000","18317.571428571428","8","17"
"2017-09-11 00:00:00.000",,"1","16"
"2017-09-19 00:00:00.000","790.0","3","88"
"2013-11-07 00:00:00.000","17559.517721518987","27","1893"
"2015-08-21 00:00:00.000","108522.5","2","2"
"2013-06-26 00:00:00.000","196618.0","1","1"
"2017-08-27 00:00:00.000",,"1","25"
"2015-11-13 00:00:00.000","210794.0","2","2"
"2013-11-13 00:00:00.000","145797.60784313726","109","307"
"2018-10-22 00:00:00.000",,"1","1"
