"_col0","avg_lifespan_minutes","num_users","new_buildings"
"2014-07-17 00:00:00.000",,"1","1"
"2012-09-25 00:00:00.000","422205.5","1","2"
"2013-12-10 00:00:00.000","1921076.5","1","7"
"2017-10-25 00:00:00.000","27133.0","1","2"
"2018-10-04 00:00:00.000",,"1","3"
"2018-10-05 00:00:00.000","3.0","2","3"
"2016-11-08 00:00:00.000",,"1","2"
"2013-11-17 00:00:00.000","1251261.8","3","82"
"2017-08-31 00:00:00.000","957.0","1","114"
"2016-09-06 00:00:00.000","371227.0","1","5"
"2013-11-18 00:00:00.000",,"1","1"
"2013-11-11 00:00:00.000","32925.13298525799","35","4670"
"2013-11-10 00:00:00.000","47017.409666283085","41","4921"
"2016-11-09 00:00:00.000",,"2","23"
"2017-11-15 00:00:00.000","18710.6","2","100"
"2015-05-25 00:00:00.000",,"1","1"
"2017-07-12 00:00:00.000","647.25","2","147"
"2011-03-18 00:00:00.000","628777.1875","1","16"
"2017-07-18 00:00:00.000","48964.2","1","205"
"2017-07-19 00:00:00.000",,"1","51"
"2014-06-01 00:00:00.000","756235.8333333334","1","15"
"2019-05-03 00:00:00.000",,"2","18"
"2013-01-19 00:00:00.000","422429.6","1","5"
"2014-03-03 00:00:00.000",,"1","1"
"2011-03-25 00:00:00.000","1386019.0","1","1"
"2016-09-05 00:00:00.000","471329.9","12","28"
"2013-11-16 00:00:00.000","1605173.9","5","85"
"2016-11-21 00:00:00.000","222865.5","1","246"
"2016-11-14 00:00:00.000",,"1","1"
"2016-11-15 00:00:00.000","884957.0","1","1"
"2015-11-16 00:00:00.000",,"1","1"
"2011-06-23 00:00:00.000","1057667.6666666667","1","3"
"2017-09-11 00:00:00.000",,"1","16"
"2013-11-23 00:00:00.000","18317.571428571428","5","17"
"2013-11-12 00:00:00.000","75283.87890625","13","869"
"2018-11-16 00:00:00.000",,"1","2"
"2013-07-15 00:00:00.000","172779.0","1","3"
"2015-12-01 00:00:00.000",,"1","1"
"2017-09-01 00:00:00.000","70003.8","1","115"
"2017-09-14 00:00:00.000",,"1","35"
"2017-09-07 00:00:00.000","5578.0","1","7"
"2018-11-22 00:00:00.000","18.0","1","1"
"2016-11-17 00:00:00.000",,"1","33"
"2013-11-13 00:00:00.000","145797.60784313726","26","307"
"2018-10-22 00:00:00.000",,"1","1"
"2013-11-27 00:00:00.000",,"1","13"
"2013-11-20 00:00:00.000",,"2","19"
"2013-11-07 00:00:00.000","17559.517721518987","11","1893"
"2015-08-21 00:00:00.000","108522.5","1","2"
"2013-06-26 00:00:00.000","196618.0","1","1"
"2015-11-13 00:00:00.000","210794.0","1","2"
"2017-08-27 00:00:00.000",,"1","25"
"2013-11-08 00:00:00.000","42105.82542624166","41","9001"
"2017-10-23 00:00:00.000",,"1","3"
"2013-11-21 00:00:00.000","1577694.0","2","46"
"2017-11-13 00:00:00.000",,"1","20"
"2013-11-15 00:00:00.000","1159277.6928104574","12","428"
"2013-11-14 00:00:00.000","500801.96132596687","13","565"
"2013-11-22 00:00:00.000","1854036.0","2","5"
"2017-08-22 00:00:00.000",,"1","32"
"2013-11-09 00:00:00.000","28225.283104196817","34","6506"
"2017-10-30 00:00:00.000",,"1","59"
